Business_Type,Gender,Organization_Name,State,City_Region,Founded,Players_Participants,Website,Instagram_Handle,Instagram_Followers,Facebook_Page,Facebook_Followers,Twitter_X,Head_Name,Head_Title,Email,Phone,Est_Annual_Revenue_USD,Revenue_Notes
FOR-PROFIT,Co-ed,RCX Sports (NFL FLAG operator),National,All 50 states (1800+ leagues),2014,830000+,https://nflflag.com,@nflflag,87000,NFL FLAG,142000,@NFLFLAG,N/A,CEO,N/A,N/A,$85000000,League operator fees + Toyota/Gatorade/Jersey Mikes/Franklin sponsorships + tournament revenue + licensing; Sixth Street/Ariel/Blue Pool investors (2026)
FOR-PROFIT,Co-ed,St. Louis Flag Football / Elite Football Academy,MO,St. Louis metro MO,N/A,N/A,https://stlflagfootball.com,@elitefootballacademy,13000,Elite Football Academy,N/A,,N/A,Director,info@stlflagfootball.com,N/A,$1200000,Youth leagues + skills training + summer camps; St. Louis metro; instructional + competitive + indoor HS leagues
FOR-PROFIT,Co-ed,Wishbone Sports,CA,Livermore / Union City / San Ramon Bay Area CA,2023,N/A (100+ coaches),https://wishbonesports.com,@wishbonesports,1200,Wishbone Sports,800,,Jared Muela,CEO/Co-Founder,jared@wishbonesports.com,N/A,$800000,New org (2023); K-8 programs; former 49ers Senior Director of Community Impact
FOR-PROFIT,Co-ed,East Bay NFL Flag,CA,Oakland + Alameda CA,2013,N/A,https://www.eastbaynflflag.com,@eastbaynflflag,890,East Bay NFL Flag,1200,,Peter Ferioli,Executive Director / Owner,peter@eastbaynflflag.com,N/A,$600000,Thousands of athletes served since 2013; ~$120/player; Bay Area
FOR-PROFIT,Co-ed,NorCal Flag Football,CA,Bay Area (9 cities) CA,N/A,2000+ kids; 240+ teams,https://www.norcalflagfootball.org,@norcalflagfootball,1400,NorCal Flag Football,2100,,Robert Foster,Director,director@norcalflagfootball.org,408-459-7022,$480000,240 teams x ~10 players avg x $100 registration = $240K x 2 seasons
FOR-PROFIT,Co-ed,NFL FLAG SoCal,CA,Los Angeles County / South Bay CA,N/A,N/A,https://nflflagsocal.com,@nflflagsocal,2300,NFL FLAG SoCal,1800,,N/A,Director,info@nflflagsocal.com,N/A,$900000,Large SoCal market; ages 4-HS; est. ~3000 players x $120/player
FOR-PROFIT,Co-ed,NFL Flag Football Inland Empire,CA,Beaumont / Fontana / Moreno Valley CA,N/A,N/A,https://www.nflflagie.com,@nflflagie,780,NFL Flag IE,650,,N/A,Director,info@nflflagie.com,N/A,$360000,3 locations x ~1000 players x $120/player (spring + fall seasons)
FOR-PROFIT,Co-ed,NFL Flag San Diego,CA,San Diego CA,N/A,N/A,https://www.nflflagsd.com,@nflflagsd,1100,NFL Flag San Diego,920,,N/A,Director,info@nflflagsd.com,N/A,$480000,Est. ~2000 players x $120/player (2 seasons); nonprofit self-describes
FOR-PROFIT,Co-ed,CALFLAG,CA,Statewide California,N/A,N/A,https://calflag.com,@calflag,2800,CALFLAG,2100,,N/A,Director,info@calflag.com,N/A,$1200000,Tiered league system (OIA elite tier) + Golden State Games + tournament revenue
FOR-PROFIT,Co-ed,SV5 NFL Flag Football,CA,San Francisco Bay Area CA,N/A,N/A,https://www.sv5nflflag.com,@sv5nflflag,560,SV5 NFL Flag,480,,N/A,Director,info@sv5nflflag.com,N/A,$270000,12-game season $225/player x ~600 players; 49ers Prep champion girls flag
FOR-PROFIT,Co-ed,Core 5 Flag Football,AZ,Peoria / Anthem / Cave Creek / Scottsdale AZ,2016,N/A,https://core5ff.com,@core5flagfootball,1889,CORE 5 Flag Football,N/A,,Joseph Longo,Founder/Director,N/A,N/A,$350000,Multi-location AZ; NFL FLAG licensed; founded by Joseph and Ruth Longo; est. ~1500 players x $120/player
FOR-PROFIT,Co-ed,AZ Youth Flag Football Brigade,AZ,Scottsdale / Paradise Valley / North Phoenix AZ,N/A,N/A,https://www.azfootballbrigade.com,@thebrigadeaz,2229,AZ Youth Football Brigade,N/A,,Marino Lee,Owner/Director (also Head Flag Football Coach at OUAZ),N/A,N/A,$300000,NFL FLAG licensed; est. ~1200 players x $125/player; Head Coach Barrett Flynn (8U Brigade)
FOR-PROFIT,Co-ed,AZ Turf Warz,AZ,Show Low + Phoenix AZ,N/A,N/A,https://www.azturfwarz.com,@azturfwarz,N/A,Arizona Turf Wars,N/A,,Coach Withers,Head Coach,N/A,N/A,$180000,Multi-location AZ; est. ~750 players x $120/player
FOR-PROFIT,Co-ed,Club Sports Alaska,AK,Anchorage / Southcentral AK,N/A,N/A,https://www.clubsportsalaska.com,@clubsportsalaska,324,Club Sports Alaska,N/A,,N/A,Director,N/A,N/A,$120000,Ages 5-14; Tues/Thurs 7v7 outdoor; est. ~500 players x $120/player
FOR-PROFIT,Co-ed,Alaska Elite Flag Football League,AK,Alaska (statewide),2025,N/A,https://alaskaeliteflagffl.com,N/A,N/A,Alaska Elite Flag Football League,N/A,,N/A,Director,N/A,N/A,$75000,New LLC (Jan 31 2025); est. ~300 players x $125/player
FOR-PROFIT,Co-ed,Missouri Wolverines Youth Football,MO,Kansas City MO,1998,N/A,https://www.missouriwolverines.com,@missouriwolverines,1155,Missouri Wolverines,N/A,,N/A,Director,N/A,N/A,$500000,26 years; K-8; tackle + flag; est. ~2000 players x $125/player
FOR-PROFIT,Co-ed,Kansas City NFL FLAG (Sporting KC venue),MO/KS,Kansas City MO (Central Bank Sporting Complex),N/A,N/A,https://www.kcflagfootball.com,@kcnflflagfootball,1218,KC NFL Flag Football,N/A,,N/A,Director,N/A,N/A,$720000,Central Bank Sporting Complex; est. ~3000 players x $120/player
FOR-PROFIT,Co-ed,Red Zone Youth Football,Multi-state,New England + California + Arizona (regional),N/A,N/A,https://redzonecamp.com,@redzoneyouthfootball,N/A,Red Zone Youth Football,N/A,,N/A,Director,N/A,N/A,$800000,Multi-region camps + tournament teams + leagues; won NFL 10U Flag Football Championship
FOR-PROFIT,Co-ed,Blue Chip Youth Sports,Multi-state,Lexington KY + Bozeman MT + other locations,N/A,N/A,https://www.bluechipyouthsports.com,@bluechipyouthsports,N/A,Blue Chip Youth Sports,N/A,,N/A,Director,N/A,N/A,$400000,Multi-location; flag + tackle; est. ~1600 players x $125/player
FOR-PROFIT,Co-ed,Skyhawks Sports,National,Western MT + Nationwide (HQ: Spokane WA),1979,N/A,https://skyhawks.com,@skyhawks_sports,3200,Skyhawks Sports,8900,@SkyhawksSports,N/A,Director,N/A,N/A,$15000000,National camp/clinic operator; flag football one of many sports; 45+ years; locations across all 50 states
FOR-PROFIT,Co-ed,Midwest Flag Football,MN/Midwest,Mankato + Scott County MN + Midwest,N/A,N/A,https://midwestflagfootball.com,@mff_leagues_tourneys,515,Midwest Flag Football,N/A,,N/A,Director,N/A,N/A,$300000,Regional MN/Midwest; est. ~1200 players x $125/player
FOR-PROFIT,Co-ed,Metro Boston NFL Flag / Metro Boston Sports Group,MA,Newton/Natick/Arlington/Belmont/Watertown/Woburn MA,N/A,N/A,https://www.metrobostonsportsgroup.com,@metrobostonnflflag,N/A,Metro Boston Sports Group,N/A,,N/A,Director,info@metrobostonsportsgroup.com,N/A,$600000,Select teams + recreational leagues; multiple age divisions; South Shore Stormers team
FOR-PROFIT,Co-ed,DeSoto Youth Sports Leagues (DYSL),MS,Southaven/Horn Lake/Olive Branch/Hernando MS,N/A,N/A,https://dyslflagfootball.sportngin.com,@desotochiefsyouthsports,N/A,DeSoto Youth Sports Leagues,N/A,,N/A,Director,desotoyouthsports38671@gmail.com,662-345-3030,$180000,NFL FLAG + 7v7 competitive; est. ~750 players x $120/player; military/first responder discounts
FOR-PROFIT,Co-ed,Mo-Kan NFL FLAG,MO/KS,Kansas City + St. Louis + surrounding MO/KS,N/A,N/A,https://www.mokannflflag.com,@mokannflflag,708,Mo-Kan NFL FLAG,1679,,N/A,Director,N/A,N/A,$840000,Multiple MO/KS cities; PreK-8; spring/summer/fall seasons; est. ~3500 players x $120/player
FOR-PROFIT,Co-ed,Dakota Domination,SD,Sioux Falls SD,N/A,N/A,https://www.dakotadomination.com,@dakotadomination,N/A,Dakota Domination,N/A,,N/A,Director,N/A,N/A,$150000,Competitive youth football; est. ~600 players x $125/player
FOR-PROFIT,Co-ed,NW Vegas Flag,NV,Northwest Las Vegas NV,N/A,N/A,https://www.nwvegasflag.com,@nwvegasflag,799,NW Vegas Flag,147,,N/A,Director,N/A,N/A,$120000,Ages 5-12; NFL Flag affiliated; est. ~500 players x $120/player
FOR-PROFIT,Co-ed,New Jersey Flag Football League,NJ,Statewide NJ,N/A,N/A,https://www.njflag.com,@njflag,3567,NJ Flag Football,2900,,N/A,Director,N/A,N/A,$600000,Ages 3-14; est. ~2500 players x $120/player
FOR-PROFIT,Co-ed,Spring Hill NFL Flag Football League,FL,Spring Hill FL,2017,N/A,https://www.springhillnflflagfootball.com,@shnflflag,1328,Spring Hill NFL Flag Football,4600,,Andrew Sitar,Owner/Commissioner (LLC),N/A,N/A,$240000,For-profit LLC (FL SunBiz); ages 3-17; Andrew + Falishia + Lana Sitar leadership
FOR-PROFIT,Co-ed,GoodSports USA / Monmouth County Flag,NJ,Wall / Monmouth County NJ,N/A,N/A,https://www.goodsportsusa.com/football,N/A,N/A,GoodSports USA,N/A,,Connor Heil,League Director,cheil@goodsportsusa.com,N/A,$360000,Sports facility operator (for-profit); est. ~1500 players x $120/player
FOR-PROFIT,Co-ed,NFL Flag NJ Morris County,NJ,Morris County NJ,2014,N/A,https://www.nflflagnj.com,@nflflagnj,170,NFL Flag NJ,695,,Brian Bowers,Founder (also Delbarton School head coach 25 yrs),N/A,N/A,$360000,Co-founders Brian + Melanie Bowers; Lee Blum Asst Dir (former Lehigh RB); est. ~1500 players x $120/player
FOR-PROFIT,Co-ed,Next Gen Flag Football Illinois,IL,South Suburbs Chicago IL,2020,1000+ athletes,https://www.nextgenflagfootball.net,@nextgennflflag,2813,NextGenNFLFlag,72,,Vizzi Brothers,Founders,N/A,N/A,$240000,Est. ~1000 players x $120/player; South suburbs Chicago; Official NFL FLAG partner
FOR-PROFIT,Co-ed,SWYFT Flag,WI,Milwaukee / Oak Creek WI,N/A,N/A,https://www.swyftflag.com,@swyft_co,346,SWYFT Flag,N/A,,N/A,Director,N/A,N/A,$120000,8-week spring season; 5v5 co-ed; 8U team qualified for NFL FLAG Championship at Pro Football HOF
FOR-PROFIT,Co-ed,SYC Flag Football (Springfield Youth Club),VA,Springfield / Northern Virginia VA,N/A,N/A,https://www.sycva.com/flagfootball,@syc_flagfootball,277,SYC Flag Football,N/A,,N/A,Director,N/A,N/A,$300000,One of most competitive youth flag leagues in N. Virginia; ages 3-16
FOR-PROFIT,Co-ed,406 Youth Sports Association,MT,Great Falls MT,2025,N/A,https://www.406youthsports.com,N/A,N/A,406 Youth Sports Association,N/A,,George Fontanez,Director,N/A,N/A,$60000,New org Spring 2025; private for-profit (two families); NFL Flag + youth sports; est. ~250 players
NONPROFIT,Co-ed,NFL FLAG (via NFL Foundation / RCX Sports),National,All 50 states (1800+ leagues),1999,830000+,https://nflflag.com,@nflflag,87000,NFL FLAG,142000,@NFLFLAG,N/A,Program Director,info@nflflag.com,N/A,$85000000,NFL Foundation + Toyota/Gatorade/Jersey Mikes/Franklin + tournament fees + in-school program grants; Sixth Street/Ariel investors
NONPROFIT,Co-ed,Pop Warner Little Scholars,National,All 50 states,1929,425000+,https://www.popwarner.com,@popwarnerfootball,28000,Pop Warner Little Scholars,62000,@PopWarner,Jon Butler,Executive Director,info@popwarner.com,215-752-2691,$18000000,Membership dues + licensing + championships revenue + sponsorships; 2.0 GPA requirement; 501c3
NONPROFIT,Co-ed,American Youth Football (AYF),National,All 50 states + international,1996,500000+; 30000+ teams,https://www.americanyouthfootball.com,@americanyouthfootball,4200,American Youth Football,9800,@AYFofficial,N/A,Executive Director,info@americanyouthfootball.com,305-261-7172,$8000000,501c3; membership fees + grants + NFL/Nike/FieldTurf partnerships + national championship events
NONPROFIT,Co-ed,USA Football,National,Nationwide (NGB),2002,N/A (governing body),https://www.usafootball.com,@usafootball,45000,USA Football,68000,@USAFootball,Scott Hallenbeck,Executive Director,info@usafootball.com,317-570-4700,$12000000,USOPC funding + coaching certification fees + tournament revenue + grant programs + i9 Sports partnership; certified NGB April 2025
NONPROFIT,Co-ed,USA FLAG (Flag Football World Championship Tour),National,Nationwide + international,2015,N/A,https://usaflag.org,@usaflag,12000,USA FLAG,8500,@USAFlag,N/A,Executive Director,info@usaflag.org,N/A,$3000000,10+ tour stop entry fees + sponsorships + national championship (Orlando Jan) + worlds (Arlington TX May)
NONPROFIT,Co-ed,YMCA of the USA (flag football programs),National,Nationwide (hundreds of branches),1851,N/A (millions across all sports),https://www.ymca.org,@ymca,185000,YMCA,2100000,@YMCA,N/A,Various Branch Directors,N/A,N/A,$7000000,Registration fees (~$80-150/player) across hundreds of YMCA branches nationally; subsidized by membership dues
NONPROFIT,Co-ed,National Association of Police Athletic Leagues (PAL),National,300+ chapters nationwide,1914,N/A (300+ chapters),https://nationalpal.org,@nationalpal,4800,National PAL,12000,@NationalPAL,N/A,Executive Director,info@nationalpal.org,954-745-5815,$2500000,Chapter dues + grant funding + law enforcement partnerships
NONPROFIT,Co-ed,Boys & Girls Clubs of America (flag programs),National,Nationwide,1860,N/A (millions across all programs),https://www.bgca.org,@bgca_clubs,89000,Boys & Girls Clubs of America,1400000,@BGCA_Clubs,Jim Clark,President/CEO,info@bgca.org,404-487-5700,$1500000,Federal grants + NFL Foundation partnership + corporate sponsorships for flag football programs
NONPROFIT,Co-ed,Hoover Youth Flag Football,AL,Hoover AL,N/A,N/A,https://www.hooveralabama.gov/568/Youth-Flag-Football,@hooverflagfootball,605,Hoover BUCS Youth Football & Cheer,701,,Chuck Kramer (4th Grade/9U Head Coach) + Coach Williams (7th/8th Champs) + Coach Sparks (6th Grade Champs),Various Head Coaches,N/A,N/A,$120000,Municipal Parks & Rec; est. ~500 players x $120/player + city subsidy
NONPROFIT,Co-ed,Oak Mountain Youth Football Club (OMYFC),AL,Birmingham area AL (behind Oak Mountain HS),N/A,N/A,https://omyfc.com,@omyfc,N/A,Oak Mountain Youth Football and Cheerleading,N/A,,N/A,Director,N/A,N/A,$120000,501c3; K-3 flag + tackle; Aug-Oct season; est. ~500 players x $120/player
NONPROFIT,Co-ed,NFL FLAG Alabama,AL,Multiple locations statewide AL,N/A,N/A,https://www.nflflagalabama.com,@nflflagalabama,N/A,NFL FLAG Alabama,940,,N/A,Director,N/A,N/A,$360000,ARPA partnership (Alabama Recreation and Parks Association nonprofit); est. ~1500 players x $120/player
NONPROFIT,Co-ed,Athens Youth Flag Football,AL,Athens AL,N/A,N/A,https://www.athensalabama.us/386/Youth-Flag-Football,@athensyouthfootball,91,Athens Youth Football And Cheer,N/A,,N/A,Director,N/A,N/A,$72000,Ages 5-12; NFL FLAG licensed; est. ~300 players x $120/player
NONPROFIT,Co-ed,Juneau Youth Football League (JYFL),AK,Juneau AK,1978,N/A,https://www.juneaufootball.com,N/A,N/A,Juneau Youth Football League,N/A,,N/A,Director,juneauyouthfootball@gmail.com,N/A,$48000,501c3 (EIN 92-0079212) since 1981; K-2 flag entry level; late July-end Sept; est. ~200 players x $120/player
NONPROFIT,Co-ed,Fairbanks Youth Football And Cheer (FYFC),AK,Fairbanks AK,N/A,N/A,https://www.fairbanksyouthfc.org,@fairbanksyouthfc,25,AKFYFC,N/A,,N/A,Director,N/A,N/A,$60000,501c3; spring flag program; est. ~250 players x $120/player
NONPROFIT,Co-ed,NLR Wildcats Youth Football,AR,North Little Rock AR,2006,N/A,https://nlrwildcats.org,@wildcatsyouthfootball,2485,NLR Wildcats Youth Football,N/A,,Bernard Bracely,President,N/A,501-541-9125,$240000,501c3; ages 4-12; flag + tackle; est. ~1000 players x $120/player
NONPROFIT,Co-ed,North Little Rock PAL Flag Football,AR,North Little Rock AR,1998,N/A,https://nlrpal.com,N/A,N/A,North Little Rock PAL,N/A,,N/A,Director,N/A,N/A,$72000,501c3 (EIN 71-0808574); ages 4-9; est. ~300 players x $120/player
NONPROFIT,Co-ed,Life CHAMPS Little Rock,AR,Little Rock AR,N/A,N/A,https://lifechamps.org,N/A,N/A,Life CHAMPS Youth Sports,N/A,@LifeChampsLR,Steve Snider,Founder,N/A,N/A,$120000,501c3; ages 5-12; est. ~500 players x $120/player
NONPROFIT,Co-ed,Colorado NFL FLAG,CO,Denver metro (14 cities) CO,N/A,N/A,https://www.coloradonflflag.com,@coloradonflflag,301,Colorado NFL FLAG,640,,N/A,Director,N/A,N/A,$1200000,Largest co-ed Youth NFL Flag Org in country claim; 14 locations; est. ~5000 players x $120/player
NONPROFIT,Co-ed,Broncos Flag Football,CO,Lakewood CO (Denver metro),N/A,N/A,https://www.broncosflagfootball.com,@broncosflagfootball,N/A,Broncos Flag Football,N/A,,N/A,Director,info@broncosflagfootball.com,720-360-1600,$360000,NFL Broncos partnership; ages 5-12; est. ~1500 players x $120/player
NONPROFIT,Co-ed,Littleton Youth Sports,CO,Littleton CO,2012,N/A,https://www.littletonyouthsports.org,@littleton_youth_football,18,Littleton Youth Sports,244,,N/A,Director,N/A,N/A,$180000,501c3 (EIN 84-1383419); merged Panthers & Patriots youth orgs 2012; est. ~750 players x $120/player
NONPROFIT,Co-ed,Connecticut Flag Football League (CT FLAG),CT,Windsor/Bloomfield/Glastonbury/Hebron/Portland CT,2018,~400 kids,https://www.ctflagfootball.com,@ct_flag,9577,CT FLAG,4300,@CTFlagFootball,Brandon Jubrey,Founder/President,info@ctflagfootball.com,860-263-9259,$96000,501c3; 400 kids x $120/player; CT Elite (boys travel) + CT Lady Matrix (girls travel)
NONPROFIT,Co-ed,Fairfield County Football League (FCFL),CT,Bridgeport/Darien/Fairfield/Norwalk/Stamford CT,N/A,N/A,https://www.fairfieldcountyfootball.org,N/A,N/A,Fairfield County Football League,N/A,,Carmen Roda,Board Chairman,N/A,N/A,$600000,10 member orgs; PreK-8; NFL FLAG; est. ~2500 players x $120/player
NONPROFIT,Co-ed,Northeast Flag Football League,CT/NY,Greenwich + Stamford CT + Westchester NY,2016,N/A,https://www.northeastflagfootballleague.com,N/A,N/A,Northeast Flag Football (multiple chapters),1000 combined,,N/A,Director,N/A,N/A,$240000,501c3 (EIN 81-3822536); ages 4-15; co-ed + girls-only; est. ~1000 players x $120/player
NONPROFIT,Co-ed,Greenwich Youth Football League (GYFL),CT,Greenwich CT,N/A (40+ yrs),N/A,https://www.greenwichyouthfootball.org,@gyflgreenwichyouthfb,339,GYFL Greenwich Football,95,,N/A,Director,N/A,N/A,$240000,501c3 (EIN 22-3076990); 40+ years operating; est. ~1000 players x $120/player
NONPROFIT,Co-ed,Wilmington Delaware NFL Flag Football,DE,Wilmington DE,N/A,N/A,https://www.denflflag.com,@denflflag,N/A,Wilmington DE NFL Flag,560,,N/A,Director,N/A,N/A,$120000,Ages 5-15; NFL FLAG licensed; est. ~500 players x $120/player
NONPROFIT,Co-ed,Smyrna NFL Flag,DE,Smyrna DE,N/A,N/A,https://www.nflflagsmyrnade.com,@smyrnanflflag,384,Smyrna Delaware NFL Flag,751,,Jason Pitts,Head Girls Flag Football Coach,N/A,N/A,$120000,Est. ~500 players x $120/player
NONPROFIT,Co-ed,Brandywine Warriors Flag Football,DE,Brandywine area DE,1963,N/A,https://brandywinewarriors.org,@bw_warriors302,N/A,Brandywine Warriors Football and Cheerleading,1800,@BWWarriors302,N/A,Director,N/A,N/A,$180000,501c3 (EIN 51-0186092) since 1976; est. ~750 players x $120/player; 60+ years operating
NONPROFIT,Co-ed,Jaguars Youth Flag Football League,FL,Jacksonville FL,N/A,N/A,https://www.jaguarsflag.com,@jaguarsyouthflagfootballleague,1242,Jaguars Youth Flag Football League,1088,,Marcus Pollard / Caelan Rhinehardt,Director of Player Engagement / Youth Football Coordinator,N/A,N/A,$480000,NFL Jaguars partnership; ages 8+; est. ~2000 players x $120/player
NONPROFIT,Co-ed,East Orlando Preds,FL,Orlando FL,N/A,N/A,https://eastorlandopreds.org,@eastorlandowolves,N/A,East Orlando Preds,1210,@EOJrPreds,N/A,Director,N/A,N/A,$120000,501c3; 2x AAU National Champions; est. ~500 players x $120/player
NONPROFIT,Co-ed,Winter Park Flag Football,FL,Winter Park FL,N/A,N/A,https://www.winterparkflagfootball.com,@winterparkflagfootball,1317,Winter Park Flag Football,418,,Preston McGann,Founder/Coach,N/A,N/A,$120000,Est. ~500 players x $120/player; Florida Youth Athletics NFL FLAG partner
NONPROFIT,Co-ed,Tampa Bay BOLTS Flag Football,FL,Tampa / Clearwater FL,N/A,N/A,https://www.tampabaybolts.org,@boltsflagfootball,3517,BOLTS Flag Football,125,,N/A,Director,N/A,N/A,$240000,Multiple age groups 6U-16U; est. ~1000 players x $120/player
NONPROFIT,Co-ed,Premier Flag Football League (Bradenton-Sarasota),FL,Bradenton / Sarasota FL,N/A,N/A,https://www.premiernflflag.com,@premiernflflagfootball,99,Premier NFL Flag,298,,N/A,Director,N/A,N/A,$360000,Official NFL FLAG partner; 6v6; ages 5-15; est. ~1500 players x $120/player
NONPROFIT,Co-ed,GHSA Girls Flag Football,GA,Georgia statewide (407 public + 56 private HS),2020,N/A,https://www.ghsa.net/flag-football,@officialghsa,35000,Georgia High School Association,N/A,@OfficialGHSA,N/A,GHSA Director,N/A,N/A,$500000,501c3 (est. 1904); 4th state to sanction (2020); Atlanta Falcons + Arthur Blank Foundation partnership
NONPROFIT,Co-ed,Georgia Youth Football League (GYFL),GA,Georgia statewide,2023,N/A (30+ teams 15+ orgs),https://www.georgiayfl.org,@georgiayfl,5423,Georgia Youth Football League,N/A,,N/A,Director,N/A,N/A,$360000,Faith-based nonprofit; est. ~1500 players x $120/player
NONPROFIT,Co-ed,NFL FLAG Hawaii,HI,Hawaii statewide,N/A,2000+ active participants,https://nflflagfootballhawaii.com,@nflflagfootballhawaii,456,NFL Flag Football Hawaii,N/A,,N/A,Director,NFLFlagHawaii@hawaiiantel.net,N/A,$480000,GuideStar listed nonprofit; Toyota Hawaii sponsor; est. ~2000 players x $120/player
NONPROFIT,Co-ed,Friday Night Flag Idaho,ID,Boise/Meridian/Nampa/Caldwell/Pocatello/Idaho Falls ID,N/A,8000+ across ID+UT,https://www.fridaynightflag.com,@fridaynightflag_boisemeridian,259,Friday Night Flag,1297,,Reese Shurtliff (Idaho Falls) / Brent Peterson (Nampa) / Matt Hagler (Pocatello),Regional League Directors,N/A,N/A,$960000,8000+ participants across Idaho + Utah; ~$120/player
NONPROFIT,Co-ed,Optimist Youth Football Boise,ID,Boise / Treasure Valley ID,1949,83000+ historical participants,https://optimistyouthfootball.com,@optimistyouthfootball,442,Optimist Youth Football,N/A,,N/A,Director,N/A,N/A,$480000,501c3; founded 1949 (75 yrs); volunteer-run; flag + tackle; Treasure Valley; est. ~2000 active players
NONPROFIT,Co-ed,Idaho Youth Football League (IYFL),ID,Ada + Canyon County ID,N/A,N/A,https://idahoyouthfootballleague.com,N/A,N/A,IYFL,N/A,,N/A,Director,Info@idahoyouthfootballleague.com,N/A,$120000,501c3; AYF member; 5-on-5 flag; Garden City HQ; est. ~500 players x $120/player
NONPROFIT,Co-ed,Meridian PAL Flag Football,ID,Meridian / Star / Eagle / Kuna / Boise ID,1996,6000+ youth (with 1000+ volunteers),https://www.meridianpal.org,@meridian.pal,94,Meridian PAL,N/A,,N/A,Director,N/A,208-888-6030,$360000,501c3; 6000+ youth across all sports; ages 4-17; spring + fall seasons; est. ~1500 flag players x $120/player
NONPROFIT,Co-ed,Northern Illinois Youth Flag Football League (NIYFFL),IL,Northern Illinois (Rockford area),N/A,N/A,https://www.niyflagfootball.org,N/A,N/A,NIYFFL,N/A,,Bob Anderson / Melissa Mastros,League Directors,N/A,847-630-4848 / 312-307-6701,$360000,Ages 6-14; spring + fall; Chicago Bears/Nike Rockford partnership; est. ~1500 players x $120/player
NONPROFIT,Co-ed,Chicagoland Youth Football League (TCYFL),IL,Lake/Kane/DuPage/Cook/Will/McHenry counties IL,N/A,10000+ players; 2500 coaches,https://www.tcyfl.net,N/A,N/A,TCYFL,N/A,,Geoff Meyer,President,g5150m@msn.com,N/A,$3000000,Largest independent youth football league in US; 10000+ players x ~$120/player; Secretary: Lisa Wood (lisaw314@gmail.com)
